Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
80,-15.49297,-5.1799,-25.47741,-22.55313,-26.68844,-18.06874,-21.96766,-19.96225,-20.96704,-26.30094,-33.16697,-29.2264,-29.54744,-28.42096,-22.43213,-23.46605,-26.89331,-26.76182,-28.19138,-26.1376,45.5697248889735,-181.0920751110265,-25.74247916358783,-86.14432533307948,174.0780751110265,147.33133552923255,158.93785636564462,85.43592982974673,36.61610854922873,-3.114742875642733,-84.8334857512856,-96.36163432641425,-107.48141228718356,-23.543879607693754,-104.86909430051412,-179.8706310325652,-180.21056250923655,172.45048410436107,173.50384452256725,126.51841228718351
81,-15.63288,-5.15838,-25.18259,-22.55408,-26.36465,-17.984,-21.99535,-20.32959,-21.17212,-25.91208,-33.05985,-30.72928,-31.03054,-29.38678,-22.0725,-24.15299,-28.36181,-28.60329,-27.10666,-26.06187,46.4563248889735,-180.3050751110265,-24.60066447076744,-87.51434002589988,174.8180751110265,146.87601349000192,159.59724167282423,86.94892982974673,36.31852248333661,-3.4730767579508495,-86.386300444106,-95.0195175425635,-108.9038665617979,-24.62478125461817,-103.32339879718143,-178.622223686155,-180.9449265358981,173.52563103256523,172.89460390820807,126.13530209103041
82,-15.61322,-5.11462,-25.03588,-22.5137,-26.0611,-17.71077,-21.86479,-20.91113,-21.0043,-26.84638,-32.68218,-32.14184,-30.6626,-30.6792,-21.91704,-25.19306,-29.73848,-27.32182,-25.69491,-25.21505,45.37611754256329,-181.2500751110265,-25.66947916358785,-86.72474002589988,175.53348245743672,145.73533552923254,159.2576563656446,88.03833717615694,35.35073793486956,-2.5428914507712648,-84.88193267948972,-96.46689309769593,-107.66919594743872,-25.908595947438585,-104.74808410436101,-178.46184287564273,-181.1578947446203,172.60235186897737,173.87944452256724,125.73407346410212
83,-15.53076,-5.12995,-24.88842,-22.70099,-25.66137,-17.67791,-21.54254,-21.07993,-21.24617,-26.92409,-30.76476,-33.73439,-34.39531,-32.54263,-21.98373,-25.95548,-31.01675,-28.09852,-25.38167,-25.12011,44.7286248889735,-181.2580751110265,-27.047664470767444,-86.50313267948967,174.56826041820608,144.33723552923254,159.27564901923438,88.79892982974673,36.56970779051616,-2.905854718720235,-86.12187675795097,-95.1069983530758,-107.54163432641417,-27.277942875642708,-104.98837675795079,-180.02044287564271,-181.65404331974884,173.87303837897542,174.85715921538767,124.2284122871835
84,-15.50734,-5.12216,-24.53922,-22.75689,-25.75759,-17.57123,-21.01923,-21.03983,-21.3043,-26.83418,-30.09209,-32.43433,-36.49222,-29.39166,-21.76612,-27.39605,-29.4838,-27.85716,-23.10067,-25.07653,44.3665248889735,-180.39807511102651,-28.159479163587832,-86.14274002589988,173.13544572538567,143.68014287564273,157.77227840487524,89.54633717615695,37.13670779051617,-3.4447061435916737,-85.73185636564475,-96.08920329384905,-108.03100494077336,-27.65214287564271,-104.15308410436101,-181.33215022205292,-181.6424457253858,174.13185756846315,174.06229309769577,122.83200494077329
85,-15.54962,-5.13063,-24.2379,-22.61512,-25.70868,-17.66741,-21.30767,-21.23515,-21.71475,-27.61212,-27.40194,-29.38869,-36.22002,-28.23429,-22.4736,-26.68913,-29.30041,-26.74001,-23.48734,-24.93556,45.73912488897349,-181.31607511102652,-28.884664470767433,-87.65064002589988,172.48707511102648,143.7181281828223,156.42267105846503,90.99392982974673,36.03370779051616,-1.9644841043610484,-84.70970779051619,-96.9734592153878,-108.17785142487159,-28.45826206513044,-102.80023267948957,-180.75166941154063,-181.51929715025727,173.57516656179774,175.29663432641414,122.20356086231203
86,-15.44263,-5.14971,-24.31637,-22.91011,-25.31377,-17.65404,-21.03295,-21.22227,-21.15279,-28.22741,-25.56033,-28.93116,-35.33639,-29.08202,-22.68252,-25.39398,-29.14827,-26.64789,-23.83229,-24.05062,44.7543248889735,-180.5880751110265,-30.021479163587827,-86.46143267948966,171.3444824574367,143.6479355292325,157.34127105846503,92.2723004441059,37.11152248333656,-2.595040025899806,-85.96530044410598,-95.57481226128381,-108.41890614359187,-27.139330588459273,-103.70637390820792,-179.65490614359166,-182.3578914507715,173.13206371205484,174.72293147667122,123.48733882308144
87,-15.51054,-5.18855,-24.31659,-23.21229,-25.38844,-17.89402,-20.96494,-21.43245,-20.81793,-27.37629,-24.17194,-28.34131,-33.26972,-28.79983,-23.0301,-25.05885,-28.80035,-27.41835,-24.13862,-24.09032,44.980124888973506,-180.82807511102652,-28.703071817177644,-87.08104737231007,172.52866776461627,144.48643552923252,156.27867105846502,90.7151151369263,36.8679298297468,-1.65363267948959,-86.23515186897741,-96.88439879718173,-107.66669594743877,-26.67166447076741,-105.06068860102833,-179.15470614359168,-181.21844572538583,173.76407105846505,173.2972653589794,122.19530209103041
88,-15.47166,-5.18857,-23.99951,-22.98772,-25.14061,-17.91671,-21.22661,-21.75873,-20.44042,-26.32502,-23.38148,-27.90829,-30.10627,-27.19827,-23.22068,-24.76634,-29.40996,-27.33919,-24.11679,-23.13287,46.0073322353837,-180.0690751110265,-27.512664470767447,-88.41854002589986,173.09985307179585,143.05353552923253,157.57927105846503,89.6911151369263,35.771337176157004,-2.592484104361006,-87.20374452256719,-96.83801349000214,-106.43929879718168,-25.11622039230616,-103.49859594743855,-179.93780329384876,-182.47546206513067,174.68466086231194,173.96288290154268,123.53211678385085
89,-15.48669,-5.20777,-24.02975,-22.74927,-24.85184,-17.91219,-21.43717,-22.15666,-20.27957,-25.95531,-22.63893,-26.57493,-29.18588,-28.00946,-22.95838,-24.72001,-30.61981,-27.33843,-25.43737,-22.4403,46.62233223538371,-180.8940751110265,-28.128257124357233,-88.04084737231007,174.09244572538566,143.19804287564273,157.262971058465,89.59170779051608,35.41855921538763,-1.92841064025896,-86.90752248333656,-96.61306206513068,-107.88917491487354,-23.944145281279646,-102.48219594743854,-179.10171798666917,-181.5834016469246,173.41960329384875,174.37409309769578,124.3593020910304
