Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
55,-15.99681,-17.59654,-15.34067,-19.01785,-16.9995,-19.87645,-39.09532,-30.45037,-20.02491,-21.9381,-18.83771,-28.646,-26.74293,-24.23575,-19.78603,-32.26383,-26.10985,-23.06511,-26.53763,-21.42593,-99.66405592153876,-107.62937511102649,49.59777631384493,62.16904122871834,-39.6795163397448,75.62466206513062,3.9705559215387733,-64.41334122871834,-130.80193552923254,5.835167764616223,-22.61047631384497,-3.927928182822285,-51.60856245743666,-82.1195044966673,-18.41894692820412,-97.87386326794892,-136.2920457253856,-109.12783103256521,-79.53952203923058,-81.172
56,-15.90488,-17.49002,-15.24321,-18.89666,-16.88726,-19.26519,-41.83108,-31.5752,-20.03855,-21.15793,-18.48359,-28.00931,-27.10947,-25.26618,-19.33945,-33.54144,-24.40155,-22.85761,-26.97092,-21.65415,-98.94355592153875,-106.68197511102649,49.723183660255145,63.55544122871834,-40.0118089933346,74.79336941154084,5.279447372310102,-65.33807796076938,-132.2129208364121,6.99895307179581,-21.495261621024554,-5.310484104361052,-51.74954857512852,-80.60467511102647,-19.625661621024534,-97.74574452256714,-137.71919715025706,-109.82463388230809,-78.13588815692245,-82.33108530717959
57,-15.95554,-17.30014,-15.06426,-18.80866,-16.72935,-18.87033,-41.53025,-34.98722,-19.84315,-21.24672,-18.07554,-27.36492,-27.9745,-25.90555,-19.25638,-33.1376,-22.91262,-23.49744,-25.50692,-22.26258,-98.96805592153876,-107.48576776461628,49.98277631384494,65.11513388230813,-39.093901646924394,75.99135471872043,5.696669411540711,-65.74158980384689,-133.7683281828223,8.09536041820602,-22.32544692820415,-4.519706143591662,-50.68265980384687,-80.26101184307751,-20.67592488897349,-98.47612533307941,-139.06189715025704,-109.22448081051226,-76.8199514248714,-83.21831469282041
58,-15.96226,-17.17114,-14.84494,-18.61971,-16.61192,-18.5031,-35.55714,-33.68704,-19.88292,-21.56552,-17.77889,-26.58018,-29.07855,-26.62897,-19.28207,-31.27043,-22.75877,-23.56152,-26.80547,-22.7115,-97.84475592153876,-106.08326776461628,49.87018366025514,66.17723388230814,-38.55811633974482,75.88386206513064,6.96474572538569,-64.31711019615311,-133.2285161435917,6.582345725385601,-23.20994692820414,-4.857188601028355,-50.120926535897894,-80.90272653589793,-20.125617542563276,-97.14170284974287,-137.74858980384684,-109.26418530717955,-76.53016326794892,-84.60044857512855
59,-15.96434,-17.05978,-14.67173,-18.4988,-16.50975,-17.91048,-34.99709,-31.91185,-19.97557,-21.29289,-17.51839,-25.72235,-29.76465,-26.65129,-18.93651,-31.43264,-22.4632,-25.04028,-26.50974,-22.61471,-98.47435592153874,-105.38776041820608,50.53218366025514,64.98503388230813,-38.20710164692441,75.74357675795105,7.817294300514249,-64.40455427461433,-133.41719675795085,6.475160418206016,-24.696232235383732,-5.139891450771259,-50.447626535897896,-79.85585756846316,-19.920024888973487,-96.18991798666923,-136.61277796076934,-109.75813837897542,-76.14701469282036,-86.10154857512856
60,-16.02596,-16.93415,-14.55118,-18.50956,-16.39273,-17.57113,-33.58162,-29.5765,-20.12376,-21.30092,-17.9198,-25.94811,-30.78308,-26.96989,-19.22068,-29.36672,-22.49174,-25.69821,-23.99715,-22.57577,-99.47834857512855,-105.54096041820608,52.01718366025513,64.23253388230813,-39.488886954104004,74.28248410436127,6.9514473723101275,-63.614405699485786,-133.70274941154065,7.395275111026429,-24.412532235383736,-4.725595947438563,-49.827280810512235,-80.48335756846316,-19.638558771281616,-95.81288125461819,-135.67851918948764,-110.31951918948769,-77.37866611769182,-84.66966611769186
61,-15.99469,-16.899,-14.36393,-18.4198,-16.44154,-17.25806,-32.74743,-28.80585,-20.32924,-21.67782,-17.61584,-24.09844,-32.06819,-27.75898,-19.48927,-28.56779,-23.63265,-27.01125,-23.01397,-23.39609,-99.46404857512854,-107.08085307179587,51.04618366025515,65.60512653589792,-40.514194300514205,73.29258410436127,8.253706143591785,-64.59062773871639,-132.9838620651304,8.46506776461623,-25.205732235383735,-3.809188601028353,-50.433655921538715,-81.68352083641213,-18.15640284974286,-96.19807346410207,-136.88474122871827,-111.44807511102644,-77.02329550333265,-85.29788815692248
62,-16.0249,-16.76714,-14.27865,-18.34024,-16.44804,-16.85314,-31.69052,-26.89564,-20.83187,-21.57549,-17.4642,-23.69888,-32.31378,-29.01918,-19.6547,-28.92959,-26.00251,-26.6391,-23.4018,-23.57598,-99.13854857512855,-107.26274572538567,50.647998353075565,64.90863388230814,-39.680886954104004,72.41709879718168,6.830854718720332,-63.547998353075585,-133.5300620651304,8.133989803846852,-24.480624888973523,-2.3860032938487734,-51.865092653589755,-82.4333479933346,-16.642410196153065,-95.01626206513048,-135.44851918948768,-112.86348081051223,-78.33255427461431,-85.0458898038469
63,-16.12933,-16.63347,-14.1918,-18.24949,-16.41523,-16.44681,-31.4948,-25.43667,-20.88497,-21.42735,-17.55896,-22.991,-32.30948,-29.9713,-19.47644,-28.55229,-24.61367,-27.30319,-23.54667,-24.31458,-99.17674122871834,-105.80395307179587,49.546998353075566,64.33013388230813,-39.897279607693804,72.39449879718168,7.491113490001993,-62.457368967434746,-134.89174737231002,7.883611843077475,-25.208195503332703,-3.3097812546181444,-52.36922653589788,-82.52782818282233,-18.17310284974286,-93.61474737231006,-134.88570449666724,-112.97830614359168,-79.39092488897347,-84.86922938564084
64,-16.1611,-16.45344,-14.03108,-18.24027,-16.43675,-16.21209,-29.75576,-24.56099,-20.9893,-21.45782,-17.32797,-22.47775,-32.87894,-31.74547,-20.16226,-28.29827,-25.49234,-27.62251,-22.88749,-25.49037,-99.37643388230813,-106.34434572538566,48.60640569948576,65.72382653589793,-41.0160722612836,70.91260614359189,6.314076757950971,-62.87759100666537,-133.5186326794896,7.326526535897887,-25.97680284974291,-4.585367320510272,-53.79859100666532,-84.06592533307945,-18.487002849742858,-94.3704841043611,-136.38713837897538,-113.81983837897542,-80.71492488897348,-85.65442368615504
